,,DATA INFRASTRUKTUR AIR BAKU SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Nama Air Baku,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. MANFAAT,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,VI. KOORDINAT,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten/ Kota,Kecamatan,Kelurahan / Desa, RT ,Irigasi (Ha),Nama DI,Jenis Pompa,Debit Pompa (ltr/dtk),Jenis Bangunan,Tahun Pembuatan,Tahun Rehab Terakhir,S°,E°,Keterangan
,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2,Konaweha,Towari-Lasusua,DAS Konaweha,1,21,740400001,Kolaka  ,Samaturu,Konaweha - Kololoa,"1,728",-,-,Gravitasi,30,Bendung,2010,-,-3.959986,121.818589,Jaringan (Desa Kololoa)
3,Tinondo,Towari-Lasusua,DAS Sabilambo,1,21,741100001,Kolaka Timur  - Kolaka,Tinondo - Samaturu,Tinondo - Kololoa,"1,728",-,-,Gravitasi,30,Bendung,2010,-,-3.960317,121.817952,Jaringan (Desa Kololoa)
4,Watumelewe,Poleang - Roraya,DAS Manggabutu,1,21,740500001,Konawe Selatan,Molo Indah,Watumelewe,384,-,-,Submersibel,10,Sumur Air Tanah,2010,-,-4.465985,122.288258,-
5,Labaha,Muna,DAS Wangkaborona,1,21,740200002,Muna,Batu Putih, Labaha,252,-,-,Sabmersibel,72,Sumur Air Tanah,2010,-,,,-
6,Laende,Muna,DAS Motewe,1,21,740200001,Muna,Katobu,Laende,"8,064",-,-,Sabmersibel,72,Bendung,2010,-,,,-
7,Mambo,Poleang - Roraya,DAS Sumpang Salo,1,21,740600001,Bombana,Poleang Timur,Mambo,"5,184",-,-,-,30,Bendung,2012,-,"3°79'17""","121°15'59""",-
8,Ladahai,Towari - Lasusua,DAS Iwoimenda,1,21,740400002,Kolaka,Wolo - Samaturu,Ladahai - Lambolemo,"1,728",-,-,Gravitasi,20,Bendung,2012,-,-3.806432,121.166743,-
9,Lawulo,Lasolo - Konaweha,DAS Lasolo,1,21,740300002,Konawe ,Anggaberi,Lawulo,"12,096",-,-,-,70,Bendung,2012,-,-3.960555,122.073055,-
10,Andoolo,Poleang - Roraya,DAS Aosole,1,21,740500002,Konawe Selatan,Andoolo,Andoolo,"2,880",-,-,Centrifugal,50,Free Intake,2012,-,-4.316389,122.240278,-
11,Marga Cinta,Poleang - Roraya,DAS Moramo,1,21,740500003,Konawe Selatan,Moramo,Marga Cinta,"3,456",-,-,Gravitasi,20,Bendung,2012,-,-4.171286,122.649632,-
