,,DATA INFRASTRUKTUR PENGAMAN PANTAI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomor,Nama Pantai,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. MANFAAT,,,,,,,V. Data Teknis,V. Data Teknis,,,,,,V.1 FISIK,,V.1 FISIK,,,,,,,V.2 KONDISI LINGKUNGAN PANTAI,,,,V.2 KONDISI LINGKUNGAN PANTAI,,,,V.3 KONDISI EROSI/ABRASI,,V.4 KONDISI SENDIMENTASI,,VI. KOORDINAT,,VII. FOTO & VIDEO,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten,Kecamatan,Kelurahan,Pelindung  Pulau Terluar,Irigasi (Ha),Pelindung Jalan Raya,Pelindung Permukiman,Pelindung Tempat Wisata,Pelindung Fasilitas Umum,Pelindung Muara Sungai,Kewenangan*,Jenis Bangunan**,Kepentingan Pantai*,Koefisien Tingkat Kepentingan,Tahun Mulai Pembangunan,Tahun Selesai Pembangunan,Dibangun Oleh,Panjang (m),Elevasi Puncak,Lebar Puncak,Lebar Dasar 1,Lebar Dasar 2,Kemiringan Luar,Kemiringan Dalam,Struktur ***,Material°,Permukiman°°,Pertanian°°,Gumuk Pasir°°,Perairan Pantai°°,Air Tanah°°,Hutan Tanaman°°,Terumbu Karang°°,Rob°°,Pergeseran Garis Pantai,Kondisi Bangunan°°,Bukan untuk Pelayaran,Untuk Pelayaran,S,E,FOTO,VIDEO,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,,,,,,,,,,
1,Katilombu,Buton,DAS Buku,1,11,741400002,Buton Selatan,Sampolawa,Jayabakti,Revetment,-,?,-,-,?,-,Pusat,Revetment,Lokal,,2013,2017,BWS Sulawesi IV Kendari,540,3,"0,8 m",,,"2,5 : 1",,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,x,?, -5.636833°,122.698667°,,,,,,,,,,,bau-bau,1
2,Pasar Wajo,Buton,DAS Wasaga,1,11,740100001,Buton,Pasar Wajo,Wakoko,Revetment,-,?,-,-,?,-,Kabupaten/Kota,Revetment,Lokal,,2008,2008,BWS Sulawesi IV Kendari,171,3,,,,,,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,x,?, -5.448083°,122.880944°,,,,,,,,,,,Buton Selatan,6
3,Bahari,Buton,DAS Wakoko,1,11,741400003,Buton Selatan,Sampolawa,Bahari,Pemecah Gelombang,-,-,-,-,?,-,Kabupaten/Kota,Pemecah Gelombang,Lokal,,"2013, 2014, 2015,2016",2015,BWS Sulawesi IV Kendari,455.5,3,2 m,,,,,Rubble,Beton,Baik,-,-,Baik,-,-,-,-,-,Baik,x,?, -5.679283°,122.712367°,,,,,,,,,,,Buton Selatan,6
4,Sampolawa,Buton,DAS Wandoke,1,11,741400001,Buton Selatan,Sampolawa,Katilombu,Revetment,-,V,-,-,?,-,Pusat,Tanggul Laut,Lokal,,2009,2012,BWS Sulawesi IV Kendari,479.5,3,,"4,65 m",,3:01,,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,x,?, -5.624794°,122.707344°,,,,,,,,,,,Buton Selatan,6
5,Batauga,Buton,DAS Wurugana,1,11,741400004,Buton Selatan,Batauga,Laompo,Revetment,-,?,-,-,?,-,Kabupaten/Kota,Revetment,Lokal,,2014,2014,BWS Sulawesi IV Kendari,194,3,,,,,,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,x,?, -5.604833°,122.595800°,,,,,,,,,,,Konawe Utara,3
6,Sampuabalo,Buton,DAS Karya Jaya,1,11,741400005,Buton Selatan,Siontapina,Sampuabalo,Revetment,-,-,?,-,?,-,Pusat,Revetment,Lokal,,2015,2015,BWS Sulawesi IV Kendari,269,3,,,,,,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,,, -5.443569°,123.018372°,,,,,,,,,,,Kolaka,6
7,Kombewaha,Buton,Das Kuraa,1,11,741400006,Buton Selatan,Siontapina,Kumbewaha,Revetment,-,?,?,-,?,?,Pusat,Revetment,Lokal,,2015,2015,BWS Sulawesi IV Kendari,374,3,,,,,,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,x,x, -5.407361°,123.102444°,,,,,,,,,,,,
8,Wameo,Buton,DAS Bau-bau,1,11,747200001,Bau-bau,Bone-bone,Bone-bone,Revetment,-,-,-,-,?,-,Kabupaten/Kota,Tanggul Laut,Lokal,,2013,2013,BWS Sulawesi IV Kendari,9,3,"3,5 m",, ,2:01,1:01,Timbunan,Tanah dan Beton,Baik,-,-,Baik,-,-,-,-,-,Baik,?,x, -5.460289°,122.589978°,,,,,,,,,,,,
9,Lemobajo,Lasolo - Konaweha,DAS Mataiwoi,1,11,741000001,Konawe Utara,Wawoleseha,Tanjung Bunga,Pemecah Gelombang,-,?,-,-,?,-,Pusat, Tanggul Laut,Lokal,,2013,2013,BWS Sulawesi IV Kendari,535.11,3,3 m,"11,5 m",6.5,2:01,1:01,Rubble,Batu,Baik,-,Buruk,Baik,Sedang,-,-,-,-,Baik,x,?, -3.716667°,122.316350°,,,,,,,,,,,,
