,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,Latowu,Towari - Lasusua,Latowu,Lintas Provinsi,1,3,740800001,Baik,Kolaka Utara,Batu Putih,Latowu,,7.78,-,,1,475.72,43.5,,,,,,
2,Pakue,Towari - Lasusua,Pakue,Non Lintas,1,3,740800002,Baik,Kolaka Utara,Pakue Utara,Pakue,,4.84,-,,1,145.96,34.8,,,,,,
3,Lanipa,Towari - Lasusua,Lanipa,Non Lintas,1,3,740800003,Baik,Kolaka Utara,Pakue Tengah,,,1.82,-,,1,89.88,14.3,,,,,,
4,Olooloho,Towari - Lasusua,Olooloho,Non Lintas,1,3,740800004,Baik,Kolaka Utara,Paku,Olooloho,,2.84,-,,1,112.3,27.45,,,,,,
5,Lilione,Towari - Lasusua,Lilione,Non Lintas,1,3,740800005,Baik,Kolaka Utara,,,,3.31,-,,1,126.77,23.4,,,,,,
6,Watunohu,Towari - Lasusua,Watunohu,Lintas Kabupaten,1,3,740800006,Baik,Kolaka Utara,Watunohu,watunohu,,19.75,-,,1,448.78,59.3,,,,,,
7,Mala - mala ,Towari - Lasusua,Mala - mala ,Non Lintas,1,3,740800007,Baik,Kolaka Utara,,,,6.06,-,,1,180.43,-,,,,,,
8,Awo,Towari - Lasusua,Mala - mala ,Non Lintas,1,3,740800008,Baik,Kolaka Utara,Kodeoha,Awo,,6.06,-,,2,180.43,12.75,,,,,,
9,Mala - mala ,Towari - Lasusua,Mala - mala ,Non Lintas,1,3,740800009,Baik,Kolaka Utara,,,,6.06,-,,2,180.43,38.75,,,,,,
10,Kamisi,Towari - Lasusua,Mala - mala ,Non Lintas,1,3,740800010,Baik,Kolaka Utara,Kodeoha,Lawadia,,6.06,-,,2,180.43,11.3,,,,,,
11,Tiwu,Towari - Lasusua,Mala - mala ,Non Lintas,1,3,740800011,Baik,Kolaka Utara,Tiwu,Tiwu,,6.06,-,,2,180.43,15.6,,,,,,
12,Lasusua,Towari - Lasusua,Lasusua,Non Lintas,1,3,740800012,Baik,Kolaka Utara,Lasusua,,,9.09,-,,1,271.08,35.6,,,,,,
13,Indewe,Towari - Lasusua,Lasusua,Non Lintas,1,3,740800013,Baik,Kolaka Utara,,,,9.09,-,,2,271.08,17.2,,,,,,
