,,DATA INFRASTRUKTUR EMBUNG SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Embung,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,III. LOKASI,IV. MANFAAT,,,IV. MANFAAT,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,,,,,,,Koordinat,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten / Kota,Kecamatan,Kelurahan / Desa,Irigasi (Ha),Potensi,DMI (m3/detik),Perkebunan (Ha),PLN,Ternak (ekor),Jenis Penanganan*,T.M.A sebelum Rehab (m), Kapasitas Sebelum Rehab (m3) , Irigasi Sebelum Rehab (ha) ,DMI Sebelum Rehab (m3/dtk),T.M.A sesudah Rehab (m),Kapasitas Sesudah Rehab (m3), Irigasi Sesudah Rehab (ha) ,DMI Sesudah Rehab (m3/dtk),Kapasitas Air Surut,Kapasitas Air Banjir,Tahun Pembuatan,Tahun Rehab Terakhir,Desimal,,GPS,,UTM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S°,E°,LS,BT,X,Y,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,
1,Jati Bali,Poleang - Roraya,DAS Wanggu,1,5,740500001,Konawe Selatan,Ranomeeto Barat,Sindangkasih,75,90,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",75,-,,,2010,-,-4.063939,122.373417,"4°3'50.180""","122°22'24.30""",430449.7246,9550778.138,*,,,Konawe Selatan,,29
2,Aopu,Lasolo - Konaweha,DAS Konaweha,1,5,740500002,Konawe Selatan,Mowila,Ranombayasa,200,250,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"50,000","40,000",-,-,"70,000",200,-,,,2011,-,-4.086783,122.212237,"4°5'12.419""","122°12'44.053""",412560.3627,9548237.161,,,,Konawe,,3
3,Teteasa,Poleang - Roraya,DAS Roraya,1,5,740500003,Konawe Selatan,Angata,Teteasa,65,75,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",65,-,,,2011,-,-4.169,122.181972,"4°10'08.4""","122°10'55.1""",409210.1695,9539144.961,*,,,Kolaka,,3
4,Ekasari,Lasolo - Konaweha,DAS Konaweha,1,5,740500004,Konawe Selatan,Mowila,Wuura,85,90,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"10,000",50,-,-,"25,000",85,-,,,2012,-,-4.094278,122.202028,"4°5'39.401""","122°12'07.3""",411427.9163,9547407.492,*,,,Kolaka Timur,,1
5,Sabulakoa,Lasolo - Konaweha,DAS Konaweha,1,5,740500005,Konawe Selatan,Sabulakoa,Sabulakoa,30,75,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"70,000", - ,-,-,"90,000",30,-,,,2012,-,-4.014703,122.269248,"4°0'52.931""","122°16'9.293""",418881.6111,9556211.188,*,,,Bombana,,3
6,Sindangkasih,Poleang - Roraya,DAS Wanggu,1,5,740500006,Konawe Selatan,Ranomeeto Barat,Sindangkasih,50,60,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",50,-,,,2012,-,-4.090469,122.375875,"4°5'25.688""","122°22'33.150""",430724.88,9547845.653,*,,,Kolaka Utara,,3
7,Lakara,Poleang - Roraya,DAS Abusu,1,5,740500007,Konawe Selatan,Tinanggea,Ulu Lakara,85,120,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",85,-,,,2012,-,-4.444278,122.328583,"4°26'39.401""","122°19'42.899""",425509.5515,9508730.045,*,,,Konawe Utara,,2
8,Makupa,Poleang - Roraya,DAS Roraya,1,5,740500008,Konawe Selatan,Lalembu,Makupa,115,260,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",115,-,,,2012,-,-4.393167,121.998194,"4°23'35.401""","121°59'53.498""",388843.7843,9514339.061,*,,,Bau - Bau,,1
