,,DATA INFRASTRUKTUR AIR TANAH SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,Kode Sumur,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,III. LOKASI,IV. MANFAAT,,V. DATA TEKNIS,,,,,,,,,,,,,,,,,,,,VI. Musim Tanam,,,,,,,,,,VII. P3A,,,,VII. KOORDINAT,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten/ Kota,Kecamatan,Kelurahan / Desa,Irigasi (Ha),Aktual Irigasi (Ha),Nama DI,Jenis Pompa,Debit Pompa (ltr/dtk),Sumber Air Sumur,Kedalaman Sumur (m),Kedalaman Muka Air Sumur (SWl - m),Tipe Pompa,Pompa Distribusi,Perpipaan Kapasitas Bak Penampungan (lt),Pipa Utama (inch),Pipa Sub Utama Monifold (inch),Pipa Lateral (mm),Pipa Emiter,Sistem Operasi Pipa,Jenis Sumur*,Rencana Jumlah KK,Aktual Jumlah KK,Tahun Pembuatan,Tahun Rehab Terakhir,keterangan,Luas Tanah MTI Padi (ha),Luas Tanah MTII Padi (ha),Luas Tanah MTIII Padi (ha),Luas Tanah MTI Palawija(ha),Luas Tanah MTII Palawija(ha),Luas Tanah MTIII Palawija(ha),Luas Tanah MTI Lain-Lain (ha),Luas Tanah MTII Lain-Lain (ha),Luas Tanah MTIII Lain-Lain (ha),Luas Tanah IP (ha),Jumlah Data P3A,Jumlah Anggaran Data P3A,BH Data P3A,Stat Data P3A,S,E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,P. 25 KDI,Poleang - Roraya,Das Wanggu,1,9,740300001,Kendari,Mandonga,P2ID Wua-wua,-,-,,,12.2,,,,,,,,,,,,,1500,,1994/1995,,,,,,,,,,,,,,,,,,
2,BL. 01,Poleang - Roraya,DAS Roraya,1,9,740500095,Konawe Selatan,Angata,Basala,18,18,D.I. Basala,,20.03,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'53.19""","122°3'36.94"""
3,P. 01BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600001,Bombana,Rumbia,Aneka Marga,15,15,D.I. Aneka Marga,,18,,,,,,,,,,,,,-,,1993/1994,,,,,,,,,,,,,,,,,"4°38'99.43""","122°59'9.33"""
4,BL. 03,Poleang - Roraya,DAS Roraya,1,9,740500096,Konawe Selatan,Angata,Basala,14,14,D.I. Basala,,14.23,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'39.03""","122°3'20.22"""
5,P. 26.KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740500040,Konawe Selatan,Landono,Landono,12,12,D.I. Landono,,11.3,,,,,,,,,,,,,-,,1994/1995,,,,,,,,,,,,,,,,,,
6,BL. 04,Poleang - Roraya,DAS Roraya,1,9,740500097,Konawe Selatan,Angata,Basala,18,18,D.I. Basala,,10.56,,,,,,,,,,,,,-,,2007,,,,,,,,,,,,,,,,,"4°17'52.92""","122°3'4.24"""
