,,DATA INFRASTRUKTUR BENDUNG SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bendung,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. MANFAAT,,,V. DATA TEKNIS,,,,V. DATA TEKNIS,,,,,,VI. KOORDINAT,,,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten / Kota,Kecamatan,Kelurahan / Desa,Irigasi (ha),Manfaat DMI (Ha),PLN,Nama Sungai,Jenis Bendung,Tinggi (m),Lebar (m),Kondisi,Debit Intake (Hujan) m3/dtk,Debit Intake (Kemarau) m3/dtk,Tahun Pembuatan,Tahun Rehab Terakhir,APBN,Desimal,,,,,,,,,,GPS,,UTM,
,,,,,,,,,,,,,,,,,,,,,,,S°,E°,°,',"""",°,',"""",,,LS,BT,X,Y
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,26,27,28,29
1,Bendung Wundulako,Towari - Lasusua,DAS Mekongga,1,8,740400001,Kolaka,Wundulako,Silea,2032,-,-,Mekongga,Tetap,2.5,21,Baik, - , - ,1974 - 1977,2015,APBN,-4.127044,121.700228,,,,,,,,,"4°7'37.358""","121°42'0.821""",355728.1306,9543711.936
2,Bendung Laeya,Lasolo - Konaweha,DAS Konaweha,1,8,740500001,Konawe Selatan,Ranomeeto,Boro-boro,"1,391",-,-,Laeya,Tetap,4,31,Baik,"3,000",700,1974-1975,2013,APBN,-4.085079,122.348437,,,,,,,,,"4°5'6.284""","122°20'54.373""",427678.772,9548439.06
3,Bendung Lapoa,Poleang - Roraya,DAS Roraya,1,8,740500002,Konawe Selatan,Tinaggea,Roraya,645,-,-,Lapoa,Tetap,2,,Baik, - , - ,1974-1975,-,APBN,-4.455401,122.164141,122,15,3.32,4,5,40.36,122.250922,4.094544,"4°27'19.444""","122°9'50.908""",407265.7431,9507481.817
4,Bendung Meluhu,Lasolo - Konaweha,DAS Konaweha,1,8,740300001,Konawe,Meluhu,Meluhu,371,-,-,Meluhu,Tetap,3,35,Baik,"28,564",0.045,1974-1975,-,APBN,-3.810101,122.193941,122,2,32.75,3,52,34.41,122.042431,3.876225,"3°48'36.364""","122°11'38.188""",410499.7907,9578821.296
5,Bendung Kasipute,Poleang - Roraya,DAS Kasipute,1,8,740600001,Bombana,Rumbia,Lameroro,657,-,-,Kasipute,Tetap,1.8,8.2,Baik, - , - ,1975-1976,-,APBN,-4.740953,122.00686,122,15,4.3,4,7,0.3,122.251194,4.11675,"4°44'27.431""","122°0'24.696""",389858.4964,9475891.351
6,Bendung Roraya 1,Poleang - Roraya,DAS Roraya,1,8,740500003,Konawe Selatan,Baito,Baito,842,-,-,Roraya,Tetap,2,8,Baik, - , - ,1976-1977,2015,APBN,-4.21184,122.322126,,,,,,,,,"4°12'42.624""","122°19'19.654""",424770.2029,9534424.033
7,Bendung Roraya III,Poleang - Roraya,DAS Laeya,1,8,740500004,Konawe Selatan,Baito,Baito,847,-,-,Aosole,Tetap,18,1.5,Baik, - , - ,1976,2014,APBN,-4.235644,122.331034,,,,,,,,,"4°14'8.318""","122°19'51.722""",425761.112,9531793.508
8,Bendung Amoito,Lasolo - Konaweha,DAS Konaweha,1,8,740500005,Konawe Selatan,Ranomeeto Barat,Amoito,313,-,-,Amoito,Tetap,1.5,10.8,Baik,-,-,1977-1984,-,APBN,-4.100411,122.380328,122,11,37.59,3,48,36.6,122.193775,3.810167,"4°6'1.480""","122°22'49.181""",431220.0115,9546747.025
9,Bendung Amotowo,Lasolo - Konaweha,DAS Konaweha,1,8,740500006,Konawe Selatan,Landono,Amotowo,265,-,-,Amatowo,Tetap,1.5,11.45,Baik,-,-,1978-1979,-,APBN,-4.101902,122.291398,122,15,42.79,3,54,29.97,122.261886,3.908325,"4°6'6.847""","122°17'29.033""",421348.9744,9546574.022
10,Bendung Landono,Lasolo - Konaweha,DAS Konaweha,1,8,740500007,Konawe Selatan,Landono,Wata Benua,245,-,-,Landono,Tetap,1.5,9.3,Baik,-,-,1978-1979,-,APBN,-4.068596,122.293235,,,,,,,,,"4° 4'6.95""","122°17'35.65""",421549.77,9550255.85
11,Bendung Moramo,Poleang - Roraya,DAS Moramo,1,8,740500008,Konawe Selatan,Moramo,Marga Cinta,240,-,-,Moramo,Tetap,2.7,,Baik, - , - ,1979-1980,-,APBN,-4.182835,122.651136,,,,,,,,,"4°10'58.206""","122°39'4.090""",461282.6451,9537654.218
12,Bendung Tanea Lama,Poleang - Roraya,DAS Wanggu,1,8,740500009,Konawe Selatan,Konda,Lalowiu,195,-,-,Wanggu,Tetap,1.5,,Baik, - , - ,1979-1980,-,APBN,-4.085788,122.490798,,,,,,,,,"4°5'8.837""","122°29'26.873""",443480.8703,9548372.09
13,Bendung Wonco,Buton,DAS Wonco,1,8,747200001,Bau - Bau,Bungi,Ngkari-Ngkari,528,-,-,Wonco,Tetap,1,12,Baik,"1,500",900,1979-1980,2016,APBN,-5.357841,122.712529,122,1,11.36,3,53,14.86,122.019822,3.887461,"5°21'28.228""","122°42'45.104""",468150.3723,9407772.823
