,DATA INFRASTRUKTUR POS DUGA AIR SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NO,NAMA POS DUGA AIR,Nomor Register,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. DATA TEKNIS,,,,IV. DATA TEKNIS,,,,,V. KOORDINAT,
,,,Nama WS,Nama DAS,Kode Bidang Pekerjaan Umum,Kode Data Dasar Jenis Infrastruktur,Kode Infrastruktur (sesuai Ketentuan Ditjen SDA),Kabupaten,Kecamatan,Kelurahan,Sungai,Induk Sungai,Luas DAS (km2),Elevasi,Jenis*,Tahun Pembuatan,Dibangun Oleh,Pelaksana,Kondisi Alat,E°,S°
,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,Lahumbuti - Abuki,1,Lasolo - Konaweha,DAS Konaweha,1,13,740300001,Konawe,Abuki,Lahumbuti,S. Lahumbuti,S. Konaweha,"6,505.24",,Logger,1975,P3SA,BWSS IV,Baik,-3.744166667,121.9130556
2,Kabongka ,3,Buton,DAS Wahalaka,1,13,740100001,Buton,Pasar Wajo,Winning,S. Kabongka,S. Kabongka,211.33,,Otomatik,1980,DPUP,BWSS IV,Baik,-5.387777778,122.8897222
3,Roraya - Kondoano,6,Poleang - Roraya,DAS Roraya,1,13,740500001,Konawe Selatan,Tinanggea,Taidahu,S. Roraya,S. Roraya,"1,186.53",,Logger-Telemetri,1980,Puslitbang,BWSS IV,Baik,-4.389166667,122.1086111
4,Asera,5,Lasolo - Konaweha,DAS Lasolo,1,13,741000001,Konawe Utara,Asera,Asera,S. Lasolo,S. Lasolo,"5,960.76",213 m,Logger-Telemetri,1980,DPMA,BWSS IV,Baik,-3.476666667,122.0613889
5,Lamonae,2,Lasolo - Konaweha,DAS Lasolo,1,13,741000002,Konawe Utara,Wiwirano,Lamonae,S. Lalindu,S. Lasolo,"5,960.76",47 m,Logger,1980,DPMA,BWSS IV,Baik,-3.242133,122.127365
6,Polo - Polora,4,Lasolo - Konaweha,DAS Lasolo,1,13,741000003,Konawe Utara,Langgikima,Polora Indah,S. Landawe,S. Lasolo,"5,960.76",222 m,Logger,1980,DPUP,BWSS IV,Baik,-3.299722222,122.1869444
7,Meetok - Sabilambo,8,Towari - Lasusua,DAS Sabilambo,1,13,740400003,Kolaka,Kolaka,Sabilambo,S. Sabilambo,S. Sabilambo,386.52,,Logger,1982,DPMA,BWSS IV,Baik,-4.066944444,121.6927778
8,Laeya Punggaluku,7,Poleang - Roraya,DAS Aosole,1,13,740500002,Konawe Selatan,Linea,Ambalo Dangge,S. Laeya,S. Laeya,672.5,,Logger-Telemetri,1982,DPUP,BWSS IV,Baik,-4.303944444,122.4947778
9,Kambara - Tiworo,9,Muna,DAS Tiworo,1,13,740200001,Muna,Tikem,Tiworu,S. Kambara,S. Kambara,325.2,,Otomatik,1984,DPMA,BWSS IV,Baik,-4.809444444,122.2747222
10,Lahumbuti - Amesiu,10,Lasolo - Konaweha,DAS Konaweha,1,13,740300002,Konawe,Wawotobi,Amesiu,S. Lahumbuti,S. Konaweha,"6,504.24",,Logger,1998,DPUP,BWSS IV,Baik,-3.954444444,122.2205556
