,DATA INFRASTRUKTUR POS KLIMATOLOGI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,NAMA POS KLIMATOLOGI,Kode Registrasi Pos,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,III. LOKASI,,IV. DATA TEKNIS,,,,,,,,V. KOORDINAT,,,,,,,,
,,,Nama WS,Nama DAS,Kode Bidang Pekerjaan Umum,kode Data Dasar Jenis Infrastruktur,Kode Infrastruktur (sesuai Ketentuan Ditjen SDA),Kabupaten,Kecamatan,Kelurahan,Nomor Kadaster,Sungai,Induk Sungai,Tinggi dr permukaan Laut (m),Tahun Pembuatan,Dibangun Oleh,Kondisi Alat,Pelaksana,E,S,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,
1,Andowengga,8,Poleang - Roraya,DAS Roraya,01,14,740400001,Kolaka,Andowengga,Andowengga,8,S. Andowengga,,,1985,PHBD / DPU,Baik,BWSS IV,"4°11'23,0""","121°54'23,0""",,,,,,,
2,Palangga,1,Poleang - Roraya,DAS Roraya,01,14,740500001,Konawe Selatan,Palangga,Wawonggura,1,S. Asole,,,1978,P3SA / DPU,Baik,BWSS IV,"4°21'17,0""","122°14'40,0""",,,,,,,
3,Kaisabu,3,Buton,DAS Pagi,01,14,740100001,Buton,Sarawolio,Kaisabu / Karya Baru,3,S. Wonco,,,1980,DPMA / DPU,Baik,BWSS IV,"5°28'27,0""","122°41'12,0""",,,,,,,
4,Kolasa,5,Muna,DAS Labulubulu,01,14,740200001,Muna,Lawa,Baku Moro,5,S. Labandito,,,1983,P3SA / DPU,Baik,BWSS IV,5°4'39°,"122°30'2,0""",,,,,,,
5,Mowila,9,Lasolo - Konaweha,DAS Konaweha,01,14,740500002,Konawe Selatan,Landono,Mulia Sari,9,S. Konaweha,S. Konaweha,,1987,PHBD / DPU,Baik,BWSS IV,"4°4'44.0""","122'15'20.0""",,,,,,,
6,Unaaha,4,Lasolo - Konaweha,DAS Konaweha,01,14,740300001,Konawe  ,Unaaha,Tuoy,4,S. Konaweha,S. Konaweha,,1980,DPU,Baik,BWSS IV,"3°52'30.0""","122°6'9,0""",,,,,,,
7,Lapai / Laha Baru,13,Towari - Lasusua,DAS Lilione,01,14,740800001,Kolaka Utara,Ngapa ,Laha Baru,13,,,,2012,BWSS IV,Baik,BWSS IV,"3°17'78,4""","120°59'67,2""",,,,,,,
8,Wundulako,2,Towari - Lasusua,DAS Wundulako,01,14,740400002,Kolaka,Wundulako,Wundulako,2,S. Wundulako,,,1978,P3SA / DPU,Baik,BWSS IV,"4°6'15,0""","121°40'45,0""",,,,,,,
9,Rante Angin,10,Towari - Lasusua,DAS Waytombo,01,14,740800002,Kolaka Utara,Rante Angin,Tinu Kari,10,S. Rante Angin,S. Rante Angin,,2011,BWSS IV,Baik,BWSS IV,"3°39'17,9","121°2'97,5""",,,,,,,
10,Kendari / Lepo - Lepo,11,Poleang - Roraya,DAS Wanggu,01,14,747100001,Kendari ,Baruga,Lepo - Lepo,11,S. Wanggu,S. Wanggu,,2011,BWSS IV,Baik,BWSS IV,"4°1'91,0""","122°27'84,7",,,,,,,
11,Asinua ,12,Lasolo - Konaweha,DAS Konaweha,01,14,740300002,Konawe ,Abuki,Lasada,12,S. Konaweha,S. Konaweha,,2011,BWSS IV,Baik,BWSS IV,"3°42""7,7""","121°50'35,2""",,,,,,,
12,Ngkari - Ngakaring,6,Buton,DAS Malaoge,01,14,740100002,Buton,Bungi,Ngakaring - Ngakaring,6,S. Wonco,,,1984,PHBD / DPU,Baik,BWSS IV,"5°21'52,0""","122°41'31,0""",,,,,,,
13,Kambara,7,Muna,DAS Tiworo,01,14,740200002,Muna,Tikep,Walungan Jaya,7,S. Tiworo,,,1984,DPMA / DPU,Baik,BWSS IV,"4°49'19""","122°30'2,0""",,,,,,,
14,Paka Indah,14,Lasolo - Konaweha,DAS Lasolo,01,14,741000001,Konawe Utara,Oheo,Paka Indah,14,S. Landawe,S. Lasolo,240 m,2012,BWSS IV,Baik,BWSS IV,"3°20'46,4","122°8'43""",,,,,,,
15,Tondowatu,15,Lasolo - Konaweha,DAS Motui,01,14,741000002,Konawe Utara,Motui,Tondowatu,15,,,188m,2015,BWSS IV,Baik,BWSS IV,"  3°51'12,84""","122°23'19,36""",,,,,,,
16,Lantari Jaya,16,Poleang - Roraya,DAS Langkowala,01,14,740600001,Bombana,Lantari Jaya,Kalaero,16,,,46 m,2015,BWSS IV,Baik,BWSS IV,"4°38'7.49""","121°59'19.32""",,,,,,,
17,Wawonii tenggara,17,Poleang - Roraya,DAS Kekea,01,14,741200001,Konawe Kepulauan,Wawonii Timur,Wakadawu,17,,,,2016,BWSS IV,Baik,BWSS IV,"4°8'28,2""","123°12'28,2""",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
