,DATA INFRASTRUKTUR DAERAH IRIGASI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama DI,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,III. LOKASI,, IV. MANFAAT ,,,,, V. DATA TEKNIS ,, V. DATA TEKNIS ,,,,,,,,, V. DATA TEKNIS ,,,V.1 WADUK,,,,V.2 BENDUNG,,,V.2 BENDUNG,,,,,,,V.3 PENGAMBILAN BEBAS,,,,V.4 SALURAN DI AREAL POTENSIAL,,,,,,V.4 SALURAN DI AREAL POTENSIAL,,,,V.5 BANGUNAN PADA SALURAN PEMBAWA DI AREAL POTENSIAL,,,,V.5 BANGUNAN PADA SALURAN PEMBAWA DI AREAL POTENSIAL,,,,Koordinat,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten,Kecamatan,Kelurahan, Irigasi (Ha) ,DMI (m3 / detik),PLTA (MWH),Ternak (Ekor),Lain - Lain,Jenis,Kewenangan,Jumlah Desa,Rencana Debit (ltr/dtk),Realisasi Debit (ltr/dtk),Tingkat Jaringan***,Luas Rencana (ha),Sudah Sawah (alih fungsi) (ha),Belum sawah (ha),Panjang Jalan Inspeksi (m),Kondisi Jalan Inspeksi*,Jumlah P3A,Jumlah Anggota P3A,Status P3A**,Jumlah Waduk,Kondisi Waduk *,Jml Pintu Waduk,Kondisi Pintu Waduk,Jml Bendung Tetap,Kondisi Bendung Ttp*,Jumlah Pintu Bendung ttp,Kondisi Pintu Bendung ttp*,Jml Bendung gerak,Kondisi Bendung gerak*,Jml Pompa Bendung gerak,Kondisi Pompa Bendung gerak*,Jml Pintu Pompa Bendung gerak,Kondisi Pintu Pompa Bendung gerak*,Jml Pengambilan Bebas,Kondisi Pengambilan Bebas*,Jml Pintu Pengambilan Bebas,Kondisi Pintu Pengambilan Bebas*,Panjang Saluran induk (Km),Kondisi Saluran induk*,Panjang Saluran Sekunder,Kondisi Saluran Sekunder*,Panjang Saluran Pembuang,Kondisi Saluran Pembuang*,Panjang Saluran Suplesi (Km),Kondisi Saluran Suplesi*,Panjang Saluran Gendong (Km),Kondisi Saluran Gendong*,Jumlah Bangunan Bagi,Kondisi Bangunan Bagi*,Jumlah Bangunan Sadap,Kondisi Bangunan Sadap*,Jumlah Bangunan Bagi-Sadap,Kondisi Bangunan Bagi-Sadap*,Jumlah Bangunan Pengatur,Kondisi Bangunan Pengatur*,S°,E°,,,,,,,Koordinat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
